kode;namaunit;instansi
3001;Sekretariat Daerah;Sekretariat Daerah
30010103;Bagian Hukum;Sekretariat Daerah
30010301;Bagian Umum;Sekretariat Daerah
3003010302;Seksi Guru dan Tenaga Kependidikan Pendidikan Sekolah Dasar;Dinas Pendidikan dan Kebudayaan
300301060104;UPTSP SMP Negeri 4;Dinas Pendidikan dan Kebudayaan
300301060204;SD Negeri Wates 1;Dinas Pendidikan dan Kebudayaan
300301060211;SD Negeri Balongsari 2;Dinas Pendidikan dan Kebudayaan
300102;Asisten Perekonomian dan Pembangunan;Sekretariat Daerah
30010303;Bagian Protokol dan Komunikasi Pimpinan;Sekretariat Daerah
3003;Dinas;NULL
300103;Asisten Administrasi Umum;Sekretariat Daerah
300101;Asisten Pemerintahan dan Kesejahteraan Rakyat;Sekretariat Daerah
30010201;Bagian Perekonomian dan Sumber Daya Alam;Sekretariat Daerah
30030105;Bidang Kebudayaan;Dinas Pendidikan dan Kebudayaan
300301060106;UPTSP SMP Negeri 6;Dinas Pendidikan dan Kebudayaan
300301060108;UPTSP SMP Negeri 8;Dinas Pendidikan dan Kebudayaan
3003010602;SD;NULL
300301060203;SD Negeri Kedundung 3;Dinas Pendidikan dan Kebudayaan
300301060205;SD Negeri Wates 2;Dinas Pendidikan dan Kebudayaan
300301060206;SD Negeri Wates 3;Dinas Pendidikan dan Kebudayaan
300301060208;SD Negeri Wates 5;Dinas Pendidikan dan Kebudayaan
300301060209;SD Negeri Wates 6;Dinas Pendidikan dan Kebudayaan
300301060210;SD Negeri Balongsari 1;Dinas Pendidikan dan Kebudayaan
300301060212;SD Negeri Balongsari 5;Dinas Pendidikan dan Kebudayaan
300301060222;SD Negeri Sentanan;Dinas Pendidikan dan Kebudayaan
300301060223;SD Negeri Jagalan;Dinas Pendidikan dan Kebudayaan
300301060224;SD Negeri Gunung Gedangan 1;Dinas Pendidikan dan Kebudayaan
300301060228;SD Negeri Magersari 1;Dinas Pendidikan dan Kebudayaan
300301060230;SD Negeri Kranggan 1;Dinas Pendidikan dan Kebudayaan
300301060231;SD Negeri Kranggan 2;Dinas Pendidikan dan Kebudayaan
300301060233;SD Negeri Kranggan 4;Dinas Pendidikan dan Kebudayaan
300301060234;SD Negeri Kranggan 5;Dinas Pendidikan dan Kebudayaan
300301060236;SD Negeri Mentikan 2;Dinas Pendidikan dan Kebudayaan
300301060107;UPTSP SMP Negeri 7;Dinas Pendidikan dan Kebudayaan
300301060202;SD Negeri Kedundung 2;Dinas Pendidikan dan Kebudayaan
300301060225;SD Negeri Gunung Gedangan 2;Dinas Pendidikan dan Kebudayaan
300301060235;SD Negeri Mentikan 1;Dinas Pendidikan dan Kebudayaan
300301060241;SD Negeri Miji 1;Dinas Pendidikan dan Kebudayaan
300301060242;SD Negeri Miji 2;Dinas Pendidikan dan Kebudayaan
300301060243;SD Negeri Miji 3;Dinas Pendidikan dan Kebudayaan
3003010303;Seksi Sarana Prasarana Pendidikan Sekolah Dasar;Dinas Pendidikan dan Kebudayaan
3003010402;Seksi Guru dan Tenaga Kependidikan Pendidikan SMP;Dinas Pendidikan dan Kebudayaan
3003010403;Seksi Sarana Prasarana Pendidikan SMP;Dinas Pendidikan dan Kebudayaan
300301060102;UPTSP SMP Negeri 2;Dinas Pendidikan dan Kebudayaan
3002;Sekretariat DPRD;Sekretariat DPRD
300301060101;UPTSP SMP Negeri 1;Dinas Pendidikan dan Kebudayaan
300301060103;UPTSP SMP Negeri 3;Dinas Pendidikan dan Kebudayaan
300301060105;UPTSP SMP Negeri 5;Dinas Pendidikan dan Kebudayaan
300301060109;UPTSP SMP Negeri 9;Dinas Pendidikan dan Kebudayaan
300301060201;SD Negeri Kedundung 1;Dinas Pendidikan dan Kebudayaan
300301060207;SD Negeri Wates 4;Dinas Pendidikan dan Kebudayaan
300301060217;SD Negeri Gedongan 1;Dinas Pendidikan dan Kebudayaan
300301060218;SD Negeri Gedongan 2;Dinas Pendidikan dan Kebudayaan
300301060229;SD Negeri Magersari 2;Dinas Pendidikan dan Kebudayaan
300301060232;SD Negeri Kranggan 3;Dinas Pendidikan dan Kebudayaan
30010102;Bagian Kesejahteraan Rakyat;Sekretariat Daerah
30010302;Bagian Organisasi;Sekretariat Daerah
300408;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
3004080101;Sub Bagian Keuangan;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040801;Sekretariat Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30030407;UPTD Perlindungan Perempuan dan Anak;Dinas Sosial, Pemberdayaan Perempuan dan Perlindungan Anak
300301060304;TK Negeri Pembina Kecamatan Kranggan;Dinas Pendidikan dan Kebudayaan
3004080102;Sub Bagian Umum dan Kepegawaian;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040802;Bidang Perencanaan, Pengendalian, dan Evaluasi Pembangunan;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040803;Bidang Pemerintahan dan Pembangunan Manusia;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040804;Bidang Perekonomian, Sumbar Daya Alam, Infrastruktur dan Kewilayahan;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040805;Bidang Riset dan Inovasi Daerah;Badan Perencanaan Pembangunan, Riset dan Inovasi Daerah
30040507;Bidang Perbendaharaan dan Akuntansi;Badan Pengelolaan Keuangan dan Pendapatan Daerah
30040508;Bidang Pelayanan, Pendataan dan Penetapan Pajak Daerah;Badan Pengelolaan Keuangan dan Pendapatan Daerah
30040509;Bidang Penagihan dan Evaluasi Pendapatan Daerah;Badan Pengelolaan Keuangan dan Pendapatan Daerah
300301060244;SD Negeri Miji 4;Dinas Pendidikan dan Kebudayaan
300301060245;SD Negeri Pulorejo 1;Dinas Pendidikan dan Kebudayaan
300301060246;SD Negeri Pulorejo 2;Dinas Pendidikan dan Kebudayaan
300301060247;SD Negeri Prajuritkulon 1;Dinas Pendidikan dan Kebudayaan
300301060248;SD Negeri Prajuritkulon 2;Dinas Pendidikan dan Kebudayaan
